rn,clusid
Br1039L_jdhjbkkh-1,X3
Br1039L_jdiifoce-1,X7
Br1039L_jdikbmbn-1,X5
Br1039L_jdilfemp-1,X3
Br1039L_jdimgiel-1,X7
Br1039L_jdjbgkcj-1,X5
Br1039L_jdjcinel-1,X2
Br1039L_jdjlhfce-1,X3
Br1039L_jdjnphdd-1,DISCARD
Br1039L_jdkalphh-1,DISCARD
Br1039L_jdknpjnc-1,X7
Br1039L_jdlanhla-1,X1
Br1039L_jdlfhnfd-1,X3
Br1039L_jdlgdlem-1,X4
Br1039L_jdlgiomb-1,X10
Br1039L_jdlhcjel-1,X3
Br1039L_jdlnfmhk-1,X3
Br1039L_jdmanijg-1,X2
Br1039L_jdmcfjbc-1,X3
Br1039L_jdmdcicj-1,X7
Br1039L_jdmjamil-1,X3
Br1039L_jdmlnjlh-1,X12
Br1039L_jdndedkj-1,X3
Br1039L_jdndhnol-1,X3
Br1039L_jdndoomk-1,X3
Br1039L_jdneacak-1,X4
Br1039L_jdoaofjl-1,X2
Br1039L_jdoepgkl-1,X4
Br1039L_jdokkcjh-1,X1
Br1039L_jdpcjmmd-1,X5
Br1039L_jdpleend-1,X10
Br1039L_jdpnjhfj-1,X5
Br1039L_jdppjmad-1,X7
Br1039L_jeabmfjl-1,X2
Br1039L_jeaehkih-1,X2
Br1039L_jeamadle-1,X3
Br1039L_jebbpmlo-1,X2
Br1039L_jebeocnn-1,X3
Br1039L_jebiimfb-1,X3
Br1039L_jebmjcnb-1,X3
Br1039L_jebmkeod-1,X3
Br1039L_jebnemhg-1,X4
Br1039L_jebpikpc-1,X3
Br1039L_jecdgigb-1,X2
Br1039L_jecngkch-1,X3
Br1039L_jecohpif-1,X3
Br1039L_jednbfnb-1,X2
Br1039L_jeeamalh-1,X3
Br1039L_jeebelke-1,X2
Br1039L_jeedocne-1,X14
Br1039L_jeeghfke-1,X3
Br1039L_jeehjelh-1,X3
Br1039L_jefeocgd-1,X2
Br1039L_jeffnbof-1,X2
Br1039L_jefnogec-1,X2
Br1039L_jefobnhd-1,X3
Br1039L_jegejgbe-1,X10
Br1039L_jeghmddd-1,X3
Br1039L_jegjkdjo-1,X3
Br1039L_jeglofho-1,X2
Br1039L_jehppobi-1,X4
Br1039L_jeifnooi-1,X3
Br1039L_jejdpeah-1,X10
Br1039L_jejemebf-1,X5
Br1039L_jejfodnb-1,X3
Br1039L_jejjbjmo-1,X5
Br1039L_jeknggji-1,X3
Br1039L_jekpehbb-1,X5
Br1039L_jelogppl-1,X2
Br1039L_jembbbdp-1,X3
Br1039L_jemhggdg-1,X3
Br1039L_jemiabbh-1,DISCARD
Br1039L_jenfimbi-1,X3
Br1039L_jenhkpep-1,X3
Br1039L_jenjonod-1,X10
Br1039L_jenmojji-1,X3
Br1039L_jeoagmjg-1,X3
Br1039L_jeoahjlj-1,X7
Br1039L_jeoajdfm-1,X7
Br1039L_jeoelbnl-1,X5
Br1039L_jfabegfj-1,X3
Br1039L_jfacebog-1,X3
Br1039L_jfadeljl-1,X2
Br1039L_jfaflkbn-1,X10
Br1039L_jfailjig-1,X10
Br1039L_jfanljnd-1,X12
Br1039L_jfbigaom-1,X2
Br1039L_jfblnafk-1,X3
Br1039L_jfbnlcpe-1,X2
Br1039L_jfbpcihg-1,X3
Br1039L_jfcgdncg-1,X2
Br1039L_jfcipaon-1,X3
Br1039L_jfcmipek-1,X7
Br1039L_jfcmminl-1,X12
Br1039L_jfcocmia-1,X10
Br1039L_jfcpobgk-1,X3
Br1039L_jfdigoai-1,X3
Br1039L_jfeaapmf-1,X10
Br1039L_jfebhnag-1,X10
Br1039L_jfeemebm-1,X3
Br1039L_jfenbobm-1,X3
Br1039L_jffmgljb-1,X3
Br1039L_jffncocf-1,X3
Br1039L_jfhgbkgj-1,X3
Br1039L_jfhgemod-1,X10
Br1039L_jfhhccae-1,X2
Br1039L_jfhkcobi-1,X2
Br1039L_jfhocnbi-1,X10
Br1039L_jfidacjb-1,X3
Br1039L_jfidoban-1,X2
Br1039L_jfilllfo-1,X10
Br1039L_jfjbbhog-1,X3
Br1039L_jfjdjepk-1,X3
Br1039L_jfjhnpbg-1,X10
Br1039L_jfjladbp-1,X3
Br1039L_jfkfkolh-1,X5
Br1039L_jfkgehao-1,X10
Br1039L_jfkkphab-1,X2
Br1039L_jflcpcdb-1,X2
Br1039L_jfleechd-1,X5
Br1039L_jflfdkgk-1,X1
Br1039L_jflgnjik-1,X14
Br1039L_jfmfeijk-1,X3
Br1039L_jfmfkbmb-1,X2
Br1039L_jfmgfbci-1,X3
Br1039L_jfmgicpp-1,X3
Br1039L_jfmjimoi-1,X4
Br1039L_jfmldglk-1,X3
Br1039L_jfmmahlh-1,DISCARD
Br1039L_jfmmdlfm-1,X10
Br1039L_jfmplpif-1,X3
Br1039L_jfnbabgl-1,X3
Br1039L_jfnjfhof-1,X3
Br1039L_jfnjoinf-1,X3
Br1039L_jfnpddem-1,X10
Br1039L_jfnpdnmd-1,DISCARD
Br1039L_jfobdkae-1,X2
Br1039L_jfobijia-1,X3
Br1039L_jfomohkl-1,X10
Br1039L_jfoopale-1,X10
Br1039L_jfpadleo-1,X10
Br1039L_jfpdgffp-1,X3
Br1039L_jfpkepig-1,X3
Br1039L_jfpmgkgg-1,X3
Br1039L_jgaemklp-1,X2
Br1039L_jgafcolo-1,X3
Br1039L_jgaklnio-1,X3
Br1039L_jgcahogd-1,X3
Br1039L_jgcgggnj-1,X3
Br1039L_jgedmgfp-1,X5
Br1039L_jgefeddl-1,X10
Br1039L_jgeicagg-1,X3
Br1039L_jgelhafg-1,X2
Br1039L_jgeljokl-1,X3
Br1039L_jgenbpka-1,X5
Br1039L_jgfbkoom-1,X5
Br1039L_jgfonfjp-1,X3
Br1039L_jgfpeipc-1,DISCARD
Br1039L_jggfjdie-1,X7
Br1039L_jggjbibc-1,DISCARD
Br1039L_jggjlclo-1,X3
Br1039L_jggodnjf-1,X3
Br1039L_jghhlank-1,X3
Br1039L_jghidgec-1,X3
Br1039L_jghmcjkp-1,X3
Br1039L_jgidgchi-1,X3
Br1039L_jgigbmgg-1,X3
Br1039L_jgigdole-1,X3
Br1039L_jgijnpnd-1,X3
Br1039L_jgimgejh-1,X3
Br1039L_jginkapb-1,X3
Br1039L_jgjfdldo-1,X3
Br1039L_jgjinnkk-1,X3
Br1039L_jgkdliof-1,X10
Br1039L_jgkklklk-1,X11
Br1039L_jglhcchh-1,X7
Br1039L_jglnhghn-1,X3
Br1039L_jglnihhc-1,DISCARD
Br1039L_jgmfiafj-1,X3
Br1039L_jgmlnjmk-1,X7
Br1039L_jgmpnlif-1,X10
Br1039L_jgnafcpf-1,X10
Br1039L_jgngpilm-1,X3
Br1039L_jgnjgimj-1,X10
Br1039L_jgnjompg-1,X10
Br1039L_jgodddom-1,X3
Br1039L_jgodmgif-1,X3
Br1039L_jgofkfmj-1,X3
Br1039L_jgopldhh-1,X12
Br1039L_jgpengge-1,X3
Br1039L_jgpghgce-1,X3
Br1039L_jgpnlcol-1,X3
Br1039L_jhafnipi-1,X3
Br1039L_jhagflmg-1,DISCARD
Br1039L_jhaimoig-1,X3
Br1039L_jhapajpi-1,X3
Br1039L_jhbachlc-1,X3
Br1039L_jhbclbbg-1,DISCARD
Br1039L_jhbdbjhl-1,X4
Br1039L_jhbhkimg-1,X3
Br1039L_jhblogha-1,X3
Br1039L_jhcblcja-1,X3
Br1039L_jhdcmcbe-1,X3
Br1039L_jhddajpo-1,X10
Br1039L_jhdeghdp-1,X10
Br1039L_jhecakba-1,X10
Br1039L_jhehamgk-1,X3
Br1039L_jheihcef-1,X3
Br1039L_jhejpgee-1,X10
Br1039L_jhenohac-1,X3
Br1039L_jhepbioo-1,X3
Br1039L_jhfjfjeh-1,X3
Br1039L_jhfkkamh-1,X3
Br1039L_jhfoffom-1,X2
Br1039L_jhggdmgj-1,DISCARD
Br1039L_jhghmakm-1,DISCARD
Br1039L_jhghnfaa-1,X10
Br1039L_jhhbfgfk-1,X5
Br1039L_jhhkddaj-1,X3
Br1039L_jhieojmd-1,X3
Br1039L_jhijlieh-1,X3
Br1039L_jhjdeidj-1,X3
Br1039L_jhjhoegk-1,X5
Br1039L_jhjkcbjj-1,X5
Br1039L_jhkaojne-1,X3
Br1039L_jhkgnmdb-1,X3
Br1039L_jhkjlpfn-1,X12
Br1039L_jhlejmcb-1,X7
Br1039L_jhlhenak-1,X7
Br1039L_jhljiddl-1,X12
Br1039L_jhlmbagg-1,X3
Br1039L_jhlpchgn-1,X10
Br1039L_jhlpjfja-1,X3
Br1039L_jhmaielp-1,X6
Br1039L_jhmgjegm-1,X7
Br1039L_jhmgnaag-1,X7
Br1039L_jhmhijli-1,DISCARD
Br1039L_jhngaoli-1,X7
Br1039L_jhochigk-1,X3
Br1039L_jhodchpc-1,DISCARD
Br1039L_jhodgchc-1,X3
Br1039L_jhoedpcl-1,X2
Br1039L_jhojkkni-1,X7
Br1039L_jhopmdkf-1,X2
Br1039L_jhpcbohi-1,X10
Br1039L_jhpkofie-1,X3
Br1039L_jhpmikio-1,X3
Br1039L_jhponpfk-1,X3
Br1039L_jiaelmfj-1,X3
Br1039L_jibehcem-1,X3
Br1039L_jibimjmc-1,X3
Br1039L_jibnapii-1,X5
Br1039L_jichlica-1,X3
Br1039L_jiddikhj-1,X3
Br1039L_jidhbnbm-1,X5
Br1039L_jidkhngh-1,X12
Br1039L_jidknenh-1,DISCARD
Br1039L_jidlnicg-1,X10
Br1039L_jiedifab-1,X7
Br1039L_jielpchm-1,X10
Br1039L_jiemflai-1,X3
Br1039L_jifcodhm-1,X10
Br1039L_jifdgmaj-1,X2
Br1039L_jifilbio-1,X3
Br1039L_jigcjigf-1,X3
Br1039L_jiglgfgf-1,X3
Br1039L_jigmeddi-1,X3
Br1039L_jigngkdj-1,X10
Br1039L_jihgahbp-1,X10
Br1039L_jihgpmbk-1,X3
Br1039L_jihholii-1,X5
Br1039L_jihioklk-1,X3
Br1039L_jihjhfek-1,X3
Br1039L_jihnjklh-1,X3
Br1039L_jiieikph-1,X3
Br1039L_jiinodan-1,X3
Br1039L_jiiodhdh-1,X7
Br1039L_jiioiaka-1,X2
Br1039L_jijekolh-1,X4
Br1039L_jijldeap-1,X2
Br1039L_jikbhcom-1,X1
Br1039L_jikdodmm-1,X10
Br1039L_jikegngi-1,X5
Br1039L_jikpnoni-1,X10
Br1039L_jilhfmgd-1,X3
Br1039L_jiljofmm-1,X10
Br1039L_jimjajin-1,X3
Br1039L_jimkbjbp-1,X3
Br1039L_jimpnojn-1,X3
Br1039L_jinecngm-1,X3
Br1039L_jingfmac-1,X5
Br1039L_jinigafi-1,X3
Br1039L_jinnaelk-1,X3
Br1039L_jinnhklb-1,X4
Br1039L_jinombco-1,X3
Br1039L_jiodofnd-1,X3
Br1039L_jioihbaa-1,X3
Br1039L_jionbnih-1,X10
Br1039L_jiopilba-1,X2
Br1039L_jipcjkfo-1,X10
Br1039L_jipgllmf-1,X3
Br1039L_jjachied-1,X3
Br1039L_jjbamnaa-1,X3
Br1039L_jjbgfclm-1,X2
Br1039L_jjbhbeok-1,X10
Br1039L_jjbjmkie-1,X10
Br1039L_jjcbcnpk-1,X10
Br1039L_jjccnjnc-1,X10
Br1039L_jjcefccd-1,X10
Br1039L_jjcfjcij-1,X3
Br1039L_jjchonig-1,DISCARD
Br1039L_jjdimnah-1,X2
Br1039L_jjdojgmc-1,X10
Br1039L_jjdookgo-1,X10
Br1039L_jjefhmom-1,X2
Br1039L_jjeoaghm-1,X10
Br1039L_jjfbafml-1,X3
Br1039L_jjfhnhpp-1,X13
Br1039L_jjfiheli-1,X5
Br1039L_jjfjpkde-1,X3
Br1039L_jjfofpif-1,X10
Br1039L_jjgflemi-1,X2
Br1039L_jjgfpabf-1,X4
Br1039L_jjgocbdj-1,X3
Br1039L_jjhekokp-1,X7
Br1039L_jjhhmfik-1,X7
Br1039L_jjhnkkme-1,X7
Br1039L_jjiehhdp-1,DISCARD
Br1039L_jjiiogld-1,X7
Br1039L_jjimnake-1,X3
Br1039L_jjjelaca-1,X2
Br1039L_jjkdjbok-1,X3
Br1039L_jjkflgjg-1,X3
Br1039L_jjknciii-1,X3
Br1039L_jjkpdamh-1,X3
Br1039L_jjllpfnf-1,X3
Br1039L_jjlnpaig-1,X3
Br1039L_jjmcgbjd-1,X10
Br1039L_jjmelmbe-1,X3
Br1039L_jjmfneco-1,X3
Br1039L_jjmihpkl-1,X3
Br1039L_jjmnfcdk-1,X3
Br1039L_jjmpaapp-1,X7
Br1039L_jjncdbme-1,X3
Br1039L_jjndihcn-1,X1
Br1039L_jjnikfgb-1,X7
Br1039L_jjnmpckc-1,DISCARD
Br1039L_jjobhnkh-1,X3
Br1039L_jjodmbka-1,X10
Br1039L_jjoifgmg-1,X3
Br1039L_jjojjfil-1,X7
Br1039L_jjpdcjnp-1,X7
Br1039L_jjpkicpm-1,X10
Br1039L_jjpllbkn-1,X10
Br1039L_jjpnfcnh-1,X3
Br1039L_jkalcohk-1,DISCARD
Br1039L_jkaodpfa-1,X3
Br1039L_jkbdjjhd-1,X10
Br1039L_jkbfnpee-1,X3
Br1039L_jkblgnmb-1,X3
Br1039L_jkcbnmno-1,X2
Br1039L_jkcbohdo-1,X3
Br1039L_jkcedgjd-1,X3
Br1039L_jkcendgc-1,X3
Br1039L_jkcgejbi-1,DISCARD
Br1039L_jkcihhdk-1,X6
Br1039L_jkddgbpc-1,X3
Br1039L_jkddkocd-1,X3
Br1039L_jkdfamin-1,X7
Br1039L_jkeaabch-1,X3
Br1039L_jkekocfo-1,X3
Br1039L_jkemobfk-1,X3
Br1039L_jkfbagpo-1,X3
Br1039L_jkfhnbij-1,X3
Br1039L_jkfijbhb-1,X3
Br1039L_jkfmjild-1,X3
Br1039L_jkfpckml-1,X4
Br1039L_jkfppeol-1,X3
Br1039L_jkghdboc-1,X3
Br1039L_jkghkllp-1,X14
Br1039L_jkgmjddm-1,X2
Br1039L_jkhbcdhm-1,X3
Br1039L_jkhbfmem-1,X3
Br1039L_jkheifeh-1,X2
Br1039L_jkhinfhd-1,X3
Br1039L_jkhmabik-1,X10
Br1039L_jkijabmb-1,X3
Br1039L_jkilheed-1,X10
Br1039L_jkimijnp-1,X10
Br1039L_jkjamplc-1,X3
Br1039L_jkjmnpcp-1,X3
Br1039L_jkkeiafc-1,X10
Br1039L_jkkfkibk-1,X3
Br1039L_jkkfokha-1,X10
Br1039L_jkkoidka-1,X3
Br1039L_jklglaib-1,X10
Br1039L_jklhhmon-1,X4
Br1039L_jklhicfg-1,X2
Br1039L_jkmjnlma-1,X10
Br1039L_jkmlnilp-1,DISCARD
Br1039L_jkmnccjf-1,X3
Br1039L_jknilddd-1,X3
Br1039L_jknnnlpj-1,X3
Br1039L_jkodgijg-1,X5
Br1039L_jkogcpem-1,X3
Br1039L_jkopomcb-1,X3
Br1039L_jkpjgmek-1,X3
Br1039L_jkppgfin-1,X3
Br1039L_jlaacdbb-1,X3
Br1039L_jlaoocmc-1,X5
Br1039L_jlbaahen-1,X3
Br1039L_jlbaehgp-1,X5
Br1039L_jlbfceid-1,X3
Br1039L_jlbigdgf-1,X10
Br1039L_jlbjiipk-1,X10
Br1039L_jlblcjil-1,X10
Br1039L_jlbpeljg-1,X3
Br1039L_jlccpebb-1,X3
Br1039L_jlcekcnj-1,X3
Br1039L_jlcippnj-1,X2
Br1039L_jlcjfafi-1,X10
Br1039L_jlcnicaf-1,X3
Br1039L_jldandjp-1,X3
Br1039L_jldbilnp-1,X3
Br1039L_jldglofa-1,X3
Br1039L_jldkcada-1,X2
Br1039L_jlfcodgc-1,X3
Br1039L_jlfdpbgg-1,X3
Br1039L_jlfelmgc-1,X3
Br1039L_jlffefhh-1,X2
Br1039L_jlfjjaem-1,X18
Br1039L_jlfngfll-1,X7
Br1039L_jlgfnhll-1,X3
Br1039L_jlgjcmjj-1,X2
Br1039L_jlglllco-1,X3
Br1039L_jlgnpnjk-1,X10
Br1039L_jlgobmmp-1,X10
Br1039L_jlhhkanm-1,X5
Br1039L_jlhnnjkn-1,X1
Br1039L_jlhplbeb-1,X3
Br1039L_jlimdikf-1,X1
Br1039L_jlipfndh-1,X2
Br1039L_jljcbkff-1,X3
Br1039L_jljdagkn-1,X10
Br1039L_jljfbnng-1,X10
Br1039L_jljfcfbd-1,X2
Br1039L_jlkbkhci-1,X3
Br1039L_jlkkakno-1,X3
Br1039L_jlkkffch-1,X3
Br1039L_jllbgded-1,X3
Br1039L_jllbjhjo-1,X10
Br1039L_jlligkgf-1,X10
Br1039L_jllmkmmc-1,X1
Br1039L_jlmfmdjm-1,X3
Br1039L_jlmhhnon-1,X2
Br1039L_jlmpomkm-1,X3
Br1039L_jlnefkkc-1,X3
Br1039L_jlneilgm-1,DISCARD
Br1039L_jlnfemoi-1,X3
Br1039L_jlnikppg-1,X10
Br1039L_jloalkde-1,X10
Br1039L_jloeaknl-1,X3
Br1039L_jloejagg-1,X5
Br1039L_jlogcnkc-1,X2
Br1039L_jloongpe-1,X3
Br1039L_jlpahboo-1,X7
Br1039L_jlpcgagp-1,X3
Br1039L_jlpnllan-1,X14
Br1039L_jmaaclcp-1,X10
Br1039L_jmalenlj-1,X10
Br1039L_jmangmjc-1,X3
Br1039L_jmaoehlj-1,X10
Br1039L_jmbaldbn-1,X3
Br1039L_jmbhinmp-1,X3
Br1039L_jmbimcop-1,X5
Br1039L_jmbkembk-1,X3
Br1039L_jmbldhbg-1,X3
Br1039L_jmblgoca-1,X3
Br1039L_jmbpnlee-1,X10
Br1039L_jmcbjikc-1,X3
Br1039L_jmcdmhnk-1,X3
Br1039L_jmcmkgmi-1,X10
Br1039L_jmcnmign-1,X10
Br1039L_jmdajefd-1,X1
Br1039L_jmdchnmn-1,X1
Br1039L_jmdfjabc-1,X3
Br1039L_jmdjcgbn-1,X2
Br1039L_jmdjfmem-1,X12
Br1039L_jmdleegi-1,X3
Br1039L_jmdmblod-1,DISCARD
Br1039L_jmebgohc-1,X7
Br1039L_jmefoocc-1,X5
Br1039L_jmeiakfk-1,X14
Br1039L_jmengegc-1,X3
Br1039L_jmfghbbd-1,X3
Br1039L_jmfgolgc-1,X14
Br1039L_jmfmfehh-1,X2
Br1039L_jmgdjjlj-1,X2
Br1039L_jmgdpbck-1,X2
Br1039L_jmgecmgm-1,X2
Br1039L_jmgleile-1,X3
Br1039L_jmhionne-1,X3
Br1039L_jmibkckl-1,X12
Br1039L_jmieffpk-1,X3
Br1039L_jmiikamh-1,X4
Br1039L_jmiiolcm-1,X3
Br1039L_jmijoeio-1,X3
Br1039L_jmilodgk-1,X7
Br1039L_jmindgif-1,X6
Br1039L_jmingaeb-1,X3
Br1039L_jmjapkom-1,X3
Br1039L_jmjnlbbi-1,X3
Br1039L_jmkebndo-1,X1
Br1039L_jmkfedmf-1,X3
Br1039L_jmkfobdp-1,X3
Br1039L_jmkhbaab-1,DISCARD
Br1039L_jmkifbkd-1,X2
Br1039L_jmkjglea-1,X10
Br1039L_jmkkjhgb-1,X3
Br1039L_jmkmmbdp-1,X10
Br1039L_jmknmbgg-1,X3
Br1039L_jmlgcigb-1,DISCARD
Br1039L_jmlkkdle-1,X7
Br1039L_jmmnbpfp-1,X3
Br1039L_jmmpclfp-1,X7
Br1039L_jmnfgelf-1,X2
Br1039L_jmnhdjnj-1,X3
Br1039L_jmniijmg-1,X10
Br1039L_jmnpcjpb-1,X3
Br1039L_jmnpglif-1,X5
Br1039L_jmobbhlb-1,X4
Br1039L_jmobpebf-1,X17
Br1039L_jmocbgpb-1,X3
Br1039L_jmofdpka-1,X10
Br1039L_jmohomom-1,X10
Br1039L_jmojcidf-1,X14
Br1039L_jmomnphc-1,X10
Br1039L_jmpaplga-1,X12
Br1039L_jmpjmffl-1,DISCARD
Br1039L_jmplhhjc-1,X2
Br1039L_jmplhknk-1,DISCARD
Br1039L_jmpnilap-1,X2
Br1039L_jmpomeha-1,X3
Br1039L_jnachpkp-1,X3
Br1039L_jnaiclbo-1,X2
Br1039L_jnalning-1,X5
Br1039L_jnapmopb-1,X2
Br1039L_jnbfjlan-1,X7
Br1039L_jnbgbdbl-1,X7
Br1039L_jnbgpopi-1,X3
Br1039L_jnbkccoj-1,X2
Br1039L_jnbppkoa-1,X5
Br1039L_jnccbhog-1,X4
Br1039L_jnclkfbj-1,X4
Br1039L_jnclpjdo-1,X3
Br1039L_jncmdnaj-1,X3
Br1039L_jndgldji-1,X10
Br1039L_jndgoahm-1,X2
Br1039L_jndldoao-1,DISCARD
Br1039L_jndlejjp-1,X3
Br1039L_jndmpfdh-1,X3
Br1039L_jndofplc-1,X3
Br1039L_jneahgdh-1,X5
Br1039L_jneaionn-1,X7
Br1039L_jnefkgop-1,X3
Br1039L_jnepkleh-1,X3
Br1039L_jnepnfnf-1,X5
Br1039L_jnfapoga-1,X3
Br1039L_jngoioaj-1,X3
Br1039L_jnhcbnmp-1,X3
Br1039L_jnhfifka-1,X10
Br1039L_jnibfnbe-1,DISCARD
Br1039L_jnikggpm-1,X3
Br1039L_jnilocnn-1,X3
Br1039L_jnimneei-1,X3
Br1039L_jniolbgo-1,X3
Br1039L_jnjijfmp-1,X3
Br1039L_jnjjdnko-1,X3
Br1039L_jnjnkenm-1,X3
Br1039L_jnklfleh-1,X4
Br1039L_jnlagbdk-1,X4
Br1039L_jnlaplmp-1,X3
Br1039L_jnlbehac-1,X3
Br1039L_jnllcehe-1,X3
Br1039L_jnlnnfih-1,X5
Br1039L_jnmdjkjo-1,X3
Br1039L_jnmikbek-1,X2
Br1039L_jnmlppdl-1,X3
Br1039L_jnnifehj-1,X5
Br1039L_jnnmejej-1,X2
Br1039L_jnoohkda-1,X4
Br1039L_jnpmojjp-1,X10
Br1039L_joabomlp-1,X3
Br1039L_joaeieje-1,DISCARD
Br1039L_joafflnl-1,X5
Br1039L_joaiebhg-1,X3
Br1039L_joailjpf-1,X3
Br1039L_joamhpdi-1,X3
Br1039L_joanicek-1,X3
Br1039L_jobiakao-1,X3
Br1039L_joblhfha-1,X3
Br1039L_jobnmfkm-1,X10
Br1039L_jobpaeml-1,X3
Br1039L_jocbfknh-1,X3
Br1039L_joccemke-1,DISCARD
Br1039L_joceejgn-1,X5
Br1039L_jockompl-1,X10
Br1039L_joddjjoa-1,X2
Br1039L_jodhgdpa-1,X2
Br1039L_joeaajeo-1,X3
Br1039L_joebepca-1,X2
Br1039L_joecfcjk-1,X3
Br1039L_joedlime-1,X2
Br1039L_joegbhob-1,X4
Br1039L_joeginjg-1,X3
Br1039L_joelapao-1,X3
Br1039L_joelgedi-1,X10
Br1039L_jofcinbg-1,X3
Br1039L_jofjfebp-1,X10
Br1039L_jofmlgfd-1,X2
Br1039L_jogdgcpi-1,X2
Br1039L_jogegbfa-1,X3
Br1039L_jogicojm-1,X3
Br1039L_jogkkbhc-1,X4
Br1039L_jogpginm-1,X6
Br1039L_johiijpf-1,X3
Br1039L_johjoiib-1,X5
Br1039L_johohglo-1,X3
Br1039L_joicnbgo-1,X3
Br1039L_jojcaioj-1,X3
Br1039L_jojfeegn-1,X10
Br1039L_jojldhlm-1,X3
Br1039L_jojlmdpj-1,X5
Br1039L_jokcnofl-1,X3
Br1039L_jokimlma-1,X1
Br1039L_joklfheg-1,X3
Br1039L_jokmnkci-1,X10
Br1039L_joknglom-1,X2
Br1039L_jolkejnj-1,X1
Br1039L_jolpagpo-1,X3
Br1039L_jombacjo-1,X10
Br1039L_jonbnmko-1,X3
Br1039L_joncipdm-1,X3
Br1039L_joncjbih-1,X3
Br1039L_jonhnpbm-1,X10
Br1039L_jonloafo-1,X2
Br1039L_jonngbfl-1,DISCARD
Br1039L_jonojomh-1,X13
Br1039L_jooifoma-1,X2
Br1039L_jookgfpn-1,X6
Br1039L_jooknoag-1,X10
Br1039L_joonbaon-1,X3
Br1039L_jopackci-1,X3
Br1039L_jopajdpe-1,X3
Br1039L_jopdbokh-1,X5
Br1039L_jopgkbkd-1,X3
Br1039L_jopjffpj-1,X3
Br1039L_jopjmbjb-1,X7
Br1039L_jopleane-1,X3
Br1039L_jpaehfpa-1,X3
Br1039L_jpanhkcm-1,X5
Br1039L_jpbandpc-1,X3
Br1039L_jpbgbjpd-1,X5
Br1039L_jpbkakci-1,X2
Br1039L_jpcanomh-1,X10
Br1039L_jpchmbje-1,X3
Br1039L_jpdbmfof-1,X2
Br1039L_jpdcfilc-1,X3
Br1039L_jpdeejck-1,X7
Br1039L_jpdmkkjf-1,X3
Br1039L_jpdnikci-1,X10
Br1039L_jpeahhpe-1,X5
Br1039L_jpebbpai-1,X5
Br1039L_jpeehgbi-1,X2
Br1039L_jpfhgknd-1,X3
Br1039L_jpfipeec-1,X12
Br1039L_jpfjlgkb-1,X2
Br1039L_jpgiildl-1,X3
Br1039L_jpgmgikd-1,X3
Br1039L_jphbmnej-1,X3
Br1039L_jphhdffb-1,X10
Br1039L_jphjhikb-1,X3
Br1039L_jphnaehg-1,X3
Br1039L_jpiknklm-1,X3
Br1039L_jpikpfnm-1,X3
Br1039L_jpiodpkm-1,X2
Br1039L_jpjbpipc-1,X3
Br1039L_jpjdhdem-1,X3
Br1039L_jpjekcog-1,X3
Br1039L_jpjgdhhm-1,X2
Br1039L_jpjoacpj-1,X3
Br1039L_jpkbchme-1,X3
Br1039L_jpkgpolm-1,X4
Br1039L_jpkhfbgg-1,X1
Br1039L_jpkkahhk-1,X2
Br1039L_jpkkppdf-1,X3
Br1039L_jpknhkaf-1,X4
Br1039L_jplaglkk-1,X3
Br1039L_jplfcjka-1,X4
Br1039L_jplhgbbf-1,X2
Br1039L_jpmenlfj-1,X3
Br1039L_jpmgnjbf-1,X3
Br1039L_jpndlicm-1,X3
Br1039L_jpnfdabe-1,X10
Br1039L_jpnhakfn-1,X3
Br1039L_jpnkoibp-1,X3
Br1039L_jpodhddl-1,X14
Br1039L_jppifmpb-1,X5
Br1039L_jppjjihh-1,X2
Br1039L_kaailpje-1,X10
Br1039L_kaakhkoi-1,X3
Br1039L_kaalapbb-1,X2
Br1039L_kabeaegc-1,X3
Br1039L_kabefnbi-1,X3
Br1039L_kabgkjfa-1,X4
Br1039L_kacaedec-1,X3
Br1039L_kacdgiip-1,X3
Br1039L_kacdjhdc-1,X12
Br1039L_kackhnid-1,X3
Br1039L_kadabfba-1,X2
Br1039L_kaddpalc-1,X3
Br1039L_kaeanbjl-1,X10
Br1039L_kaecnlcb-1,X10
Br1039L_kaehindc-1,X3
Br1039L_kaejigji-1,DISCARD
Br1039L_kafagkpg-1,X7
Br1039L_kafalkkm-1,X7
Br1039L_kafikjci-1,X7
Br1039L_kafnchoj-1,X3
Br1039L_kafnobdk-1,DISCARD
Br1039L_kafohndf-1,DISCARD
Br1039L_kagnlbgj-1,X3
Br1039L_kahdbpij-1,X5
Br1039L_kahibegl-1,X5
Br1039L_kahjiehd-1,X3
Br1039L_kahpiakg-1,X3
Br1039L_kaidhocp-1,X10
Br1039L_kaiibjkk-1,X7
Br1039L_kaijgljn-1,X3
Br1039L_kajbagol-1,X3
Br1039L_kajcojpa-1,X10
Br1039L_kajijime-1,X3
Br1039L_kajjmkng-1,X3
Br1039L_kakfjmhp-1,X10
Br1039L_kakklbdp-1,X3
Br1039L_kalabokb-1,X3
Br1039L_kallfnff-1,X10
Br1039L_kamfngda-1,X3
Br1039L_kamhdeho-1,X10
Br1039L_kamlfpej-1,X10
Br1039L_kandmgbo-1,X3
Br1039L_kaoolikm-1,X3
Br1039L_kapicmkb-1,X2
Br1039L_kapnmjad-1,DISCARD
Br1039L_kbacaidd-1,X7
Br1039L_kbacodmo-1,DISCARD
Br1039L_kbahanjl-1,X2
Br1039L_kbbdnleg-1,X2
Br1039L_kbbikbph-1,X4
