rn	clust_M0_lam0.2_k25_kgeom30_res1	clust_M0_lam0.2_k50_kgeom30_res1	clust_M0_lam0.2_k100_kgeom30_res1
Br0942_aehkndih-1	X5	X5	X4
Br0942_aehlnekc-1	X17	X11	X10
Br0942_aehmhmkd-1	X13	X11	X10
Br0942_aeicendo-1	X10	X12	X8
Br0942_aejaealo-1	X12	X11	X10
Br0942_aejgkeig-1	X17	X11	X10
Br0942_aejjkkea-1	X10	X12	X8
Br0942_aejkfjkf-1	X12	X11	X10
Br0942_aekaibfp-1	X10	X10	X8
Br0942_aekgeiei-1	X1	X1	X1
Br0942_aekgjncd-1	X1	X1	X1
Br0942_aekibdcj-1	X17	X11	X10
Br0942_aekihjgd-1	X1	X1	X1
Br0942_aeklobjc-1	X12	X11	X9
Br0942_aeknpich-1	X13	X13	X9
Br0942_aekpkidm-1	X10	X10	X8
Br0942_aekpnpdd-1	X9	X9	X14
Br0942_aelakmdh-1	X13	X13	X9
Br0942_aelbclhk-1	X1	X1	X1
Br0942_aelbomhe-1	X5	X5	X4
Br0942_aeldpbgl-1	X16	X12	X8
Br0942_aeligmec-1	X2	X2	X2
Br0942_aeljcdga-1	X13	X11	X9
Br0942_aelnbang-1	X1	X1	X1
Br0942_aemabacd-1	X10	X12	X8
Br0942_aembbhlk-1	X10	X12	X8
Br0942_aemdpfmd-1	X2	X2	X2
Br0942_aemfjbpp-1	X1	X1	X1
Br0942_aemkdlnj-1	X2	X2	X2
Br0942_aemkepia-1	X17	X11	X10
Br0942_aemodahn-1	X10	X12	X8
Br0942_aenaepkl-1	X10	X12	X8
Br0942_aenapnhp-1	X23	X16	X18
Br0942_aenelmbg-1	X5	X5	X4
Br0942_aenlfdeo-1	X12	X11	X10
Br0942_aenloibm-1	X10	X12	X8
Br0942_aeocenag-1	X12	X11	X10
Br0942_aeoheefh-1	X1	X1	X1
Br0942_aeoneiil-1	X5	X5	X4
Br0942_aeongajm-1	X12	X11	X10
Br0942_aeonijho-1	X20	X18	X15
Br0942_aepbffbb-1	X9	X9	X14
Br0942_aepdbado-1	X10	X12	X8
Br0942_aepfecjb-1	X12	X11	X10
Br0942_aepgpimp-1	X17	X11	X10
Br0942_aephchhk-1	X17	X11	X10
Br0942_aepincgg-1	X1	X1	X1
Br0942_aepolebk-1	X1	X1	X1
Br0942_aeppecag-1	X8	X7	X7
Br0942_aeppiibo-1	X10	X17	X8
Br0942_afaejlne-1	X5	X5	X4
