rn	clust_M0_lam0.2_k25_kgeom30_res1	clust_M0_lam0.2_k50_kgeom30_res1	clust_M0_lam0.2_k100_kgeom30_res1
Br6297_gjephkbj-1	X16	X12	X19
Br6297_gjfcnimg-1	X12	X11	X9
Br6297_gjfdfoii-1	X12	X11	X9
Br6297_gjffelmm-1	X13	X13	X9
Br6297_gjffmfgb-1	X13	X13	X9
Br6297_gjfiafci-1	X13	X13	X9
Br6297_gjfnokck-1	X13	X13	X9
Br6297_gjfojnon-1	X13	X13	X9
Br6297_gjfomnld-1	X13	X13	X9
Br6297_gjgadddm-1	X13	X13	X9
Br6297_gjgbakab-1	X13	X13	X9
Br6297_gjgcfapi-1	X13	X13	X9
Br6297_gjgcpifd-1	X13	X13	X11
Br6297_gjggfnjh-1	X27	X22	X21
Br6297_gjglnjmf-1	X27	X22	X21
Br6297_gjgmdboo-1	X27	X22	X21
Br6297_gjgmnblp-1	X27	X22	X21
Br6297_gjhepeph-1	X27	X22	X21
Br6297_gjhkmfhg-1	X27	X22	X21
Br6297_gjhlkbia-1	X27	X22	X21
Br6297_gjhobiip-1	X13	X13	X21
Br6297_gjibjabb-1	X28	X22	X21
Br6297_gjifnkjn-1	X27	X22	X21
Br6297_gjinlapj-1	X13	X13	X1
Br6297_gjjciagb-1	X27	X22	X21
Br6297_gjjcmafo-1	X27	X22	X21
Br6297_gjjdnbkd-1	X13	X13	X1
Br6297_gjjoghka-1	X27	X22	X21
Br6297_gjkgjgda-1	X27	X22	X21
Br6297_gjkjcnci-1	X13	X13	X11
Br6297_gjkkiolk-1	X6	X6	X5
Br6297_gjkldbad-1	X13	X13	X9
Br6297_gjkmaohi-1	X13	X13	X9
Br6297_gjlbjnkm-1	X13	X13	X9
Br6297_gjldblfl-1	X13	X13	X9
Br6297_gjldljdf-1	X13	X13	X9
Br6297_gjlicnel-1	X13	X13	X9
Br6297_gjlihfde-1	X13	X13	X9
Br6297_gjmediaj-1	X12	X13	X9
Br6297_gjmgeodh-1	X13	X11	X9
Br6297_gjmnohob-1	X13	X13	X9
Br6297_gjmpdgkc-1	X13	X13	X9
Br6297_gjmpfhje-1	X12	X13	X9
Br6297_gjneggee-1	X13	X13	X9
Br6297_gjnmiegk-1	X13	X13	X9
Br6297_gjnpaida-1	X13	X13	X9
Br6297_gjobbglf-1	X13	X13	X9
Br6297_gjodemac-1	X1	X1	X1
Br6297_gjpaloob-1	X13	X13	X9
Br6297_gjpbgmlj-1	X14	X4	X11
Br6297_gjpenlbn-1	X13	X13	X9
Br6297_gjpgalao-1	X13	X13	X9
Br6297_gkaafago-1	X13	X13	X9
Br6297_gkabeidl-1	X13	X13	X9
Br6297_gkacnlmk-1	X13	X13	X9
Br6297_gkaddoai-1	X13	X13	X9
Br6297_gkaedhii-1	X13	X13	X9
Br6297_gkaefenf-1	X13	X13	X9
Br6297_gkamkjli-1	X13	X13	X9
Br6297_gkbblpmp-1	X13	X13	X9
Br6297_gkbkaibh-1	X13	X13	X9
Br6297_gkbnoglm-1	X13	X13	X9
Br6297_gkbpkfao-1	X13	X13	X9
Br6297_gkccmbam-1	X13	X13	X1
Br6297_gkcghjgi-1	X13	X13	X1
Br6297_gkcmnndp-1	X13	X13	X9
Br6297_gkdgddff-1	X13	X13	X9
Br6297_gkdhboob-1	X13	X13	X9
Br6297_gkdhlaii-1	X13	X1	X1
Br6297_gkdkhnch-1	X13	X1	X1
Br6297_gkefldjc-1	X13	X13	X9
Br6297_gkehhcae-1	X13	X13	X1
Br6297_gkekobcc-1	X27	X22	X21
Br6297_gkelkgco-1	X27	X22	X21
Br6297_gkengebn-1	X27	X22	X21
Br6297_gkfcaecl-1	X27	X22	X21
Br6297_gkfnamcb-1	X9	X9	X18
Br6297_gkfopefl-1	X12	X11	X9
Br6297_gkgfbiej-1	X16	X12	X8
Br6297_gkgfjnnj-1	X27	X22	X21
Br6297_gkgjfooh-1	X5	X5	X4
Br6297_gkhafcnd-1	X13	X13	X9
Br6297_gkhahdeg-1	X27	X22	X21
Br6297_gkhbfmim-1	X27	X22	X21
Br6297_gkhkopjg-1	X27	X22	X21
Br6297_gkhojapc-1	X27	X22	X21
Br6297_gkideaeo-1	X27	X22	X21
Br6297_gkjbclbj-1	X27	X22	X21
Br6297_gkjbjceb-1	X13	X13	X1
Br6297_gkjcbihi-1	X27	X22	X21
Br6297_gkjcfjpi-1	X27	X22	X21
Br6297_gkjfadnb-1	X27	X22	X21
Br6297_gkjfjjln-1	X27	X22	X21
Br6297_gkjgalbi-1	X27	X22	X21
Br6297_gkjiaoif-1	X4	X2	X2
Br6297_gkjkmgbi-1	X3	X4	X11
Br6297_gkjplefj-1	X13	X13	X9
Br6297_gkkcpnef-1	X13	X2	X2
Br6297_gkkfidbc-1	X12	X11	X9
Br6297_gkldjmbc-1	X27	X22	X21
Br6297_gkldlhom-1	X13	X13	X9
Br6297_gklihknp-1	X9	X9	X14
Br6297_gkljjgfk-1	X13	X13	X9
Br6297_gklkfakm-1	X13	X13	X9
Br6297_gklnjnfk-1	X13	X13	X9
Br6297_gkmebhmb-1	X13	X13	X9
Br6297_gkmjagce-1	X13	X13	X9
Br6297_gkmlkgof-1	X13	X13	X9
Br6297_gkmmcmoi-1	X28	X5	X4
Br6297_gkmmlppn-1	X6	X6	X5
Br6297_gknjhjdp-1	X2	X2	X2
Br6297_gknmbani-1	X6	X6	X5
Br6297_gknnbgme-1	X4	X15	X13
Br6297_gknoooal-1	X5	X5	X4
Br6297_gkoinemm-1	X4	X2	X2
Br6297_gkojcehi-1	X4	X2	X2
Br6297_gkolcflh-1	X4	X15	X13
Br6297_gkpaabmj-1	X13	X13	X9
Br6297_gkpdbjlj-1	X13	X13	X9
Br6297_gkpehlfp-1	X13	X13	X9
Br6297_gkppigfb-1	X13	X13	X9
Br6297_glaagcje-1	X13	X13	X9
Br6297_glacecek-1	X13	X13	X9
Br6297_glachpik-1	X13	X13	X9
Br6297_glapdoce-1	X2	X2	X2
Br6297_glbcpoag-1	X13	X13	X9
Br6297_glbgboon-1	X13	X13	X9
Br6297_glbmflde-1	X13	X13	X9
Br6297_glcbkgjo-1	X13	X13	X1
Br6297_glcfkjgk-1	X13	X13	X9
Br6297_glcfklhh-1	X13	X13	X9
Br6297_glckheio-1	X28	X13	X9
Br6297_glcmbkmi-1	X13	X13	X9
Br6297_glcmlgjm-1	X13	X13	X9
Br6297_gldalbgd-1	X13	X13	X9
Br6297_gldekkjd-1	X13	X13	X9
Br6297_gldkgnoa-1	X13	X13	X1
Br6297_gldpgfgb-1	X13	X13	X9
Br6297_gleapkpd-1	X13	X13	X9
Br6297_glegjidl-1	X13	X13	X9
Br6297_glemkcdi-1	X13	X13	X9
Br6297_glflpjji-1	X13	X13	X9
Br6297_glfnhgoa-1	X13	X13	X9
Br6297_glfnmkha-1	X13	X13	X9
Br6297_glgccdeh-1	X13	X13	X9
Br6297_glglhghp-1	X13	X13	X9
Br6297_glhghjbi-1	X13	X13	X9
Br6297_glhhbpal-1	X13	X13	X9
Br6297_glhmjoog-1	X28	X5	X4
Br6297_glidgfhi-1	X13	X13	X1
Br6297_gligpknd-1	X13	X13	X9
Br6297_glihphbp-1	X13	X13	X1
Br6297_glikafde-1	X13	X13	X9
Br6297_gljbooop-1	X13	X13	X9
Br6297_gljcoood-1	X13	X13	X1
Br6297_gljephji-1	X27	X22	X21
Br6297_gljmlnei-1	X13	X13	X1
Br6297_glkioilf-1	X13	X13	X9
Br6297_gllkimhb-1	X13	X13	X1
Br6297_glmciahj-1	X13	X13	X1
Br6297_glmjeohd-1	X13	X13	X1
Br6297_glmlojbo-1	X3	X4	X3
Br6297_glmmahnk-1	X1	X1	X1
Br6297_glmoenbk-1	X12	X11	X16
Br6297_glmpgbcc-1	X10	X12	X8
Br6297_glnipncd-1	X1	X1	X1
Br6297_glnmlgnb-1	X8	X9	X14
Br6297_glnmlkep-1	X16	X12	X8
Br6297_glnoocae-1	X3	X19	X3
Br6297_gloclcfg-1	X8	X17	X6
Br6297_glogkhdm-1	X10	X12	X8
Br6297_gloilepk-1	X17	X11	X10
Br6297_glpognfg-1	X20	X18	X15
Br6297_glpoihlb-1	X3	X4	X3
Br6297_glpoppoh-1	X12	X11	X10
Br6297_gmaejcad-1	X12	X11	X16
Br6297_gmbidmgc-1	X3	X1	X1
Br6297_gmbooloc-1	X10	X12	X8
Br6297_gmcbfijm-1	X12	X11	X9
Br6297_gmcbndba-1	X3	X3	X3
Br6297_gmccbagg-1	X5	X5	X4
Br6297_gmcdgogd-1	X12	X11	X10
Br6297_gmcemabk-1	X6	X6	X5
Br6297_gmdcpgbp-1	X12	X11	X10
Br6297_gmdkgjkk-1	X13	X1	X11
Br6297_gmdknbed-1	X11	X11	X9
Br6297_gmdnapic-1	X6	X6	X5
Br6297_gmdngjae-1	X6	X6	X5
Br6297_gmdpjehh-1	X6	X1	X1
Br6297_gmebhkcj-1	X19	X6	X5
Br6297_gmeeadgb-1	X10	X18	X15
Br6297_gmehjfof-1	X10	X17	X6
Br6297_gmejmime-1	X12	X19	X16
Br6297_gmfacicg-1	X4	X15	X13
Br6297_gmfemdjf-1	X21	X11	X10
Br6297_gmfjdcoj-1	X12	X11	X10
Br6297_gmfjlgnn-1	X6	X6	X5
Br6297_gmfniojh-1	X3	X3	X3
Br6297_gmfojdaf-1	X3	X3	X3
Br6297_gmfpgmfg-1	X16	X12	X8
Br6297_gmgbiepo-1	X11	X11	X9
Br6297_gmgcdifo-1	X20	X4	X3
Br6297_gmgmnjfh-1	X17	X11	X10
Br6297_gmgolcjn-1	X17	X11	X10
Br6297_gmhhkghm-1	X8	X7	X7
Br6297_gmicioma-1	X8	X7	X7
Br6297_gmifiicn-1	X8	X7	X7
Br6297_gmikglmn-1	X8	X7	X7
Br6297_gmjaniac-1	X20	X4	X15
Br6297_gmjchcfn-1	X16	X12	X8
Br6297_gmjgdchc-1	X8	X7	X6
Br6297_gmjhikkm-1	X1	X1	X1
Br6297_gmjmnnff-1	X12	X11	X10
Br6297_gmlcpidb-1	X2	X2	X2
Br6297_gmlkookh-1	X8	X7	X6
Br6297_gmlllmbl-1	X1	X1	X1
Br6297_gmlmkmpo-1	X24	X20	X10
Br6297_gmmjcmkl-1	X1	X1	X1
Br6297_gmmjnmpe-1	X17	X11	X10
Br6297_gmmkfcej-1	X5	X5	X4
Br6297_gmmphjdo-1	X1	X1	X1
Br6297_gmnbjjep-1	X25	X4	X11
Br6297_gmndbomo-1	X5	X5	X4
Br6297_gmnfdkoh-1	X21	X19	X16
Br6297_gmnglbhm-1	X21	X19	X16
Br6297_gmnklfij-1	X3	X18	X15
Br6297_gmnklpen-1	X22	X12	X8
Br6297_gmnmebpd-1	X1	X1	X1
Br6297_gmnmlhab-1	X10	X12	X8
Br6297_gmoaglcn-1	X10	X10	X8
Br6297_gmocjlfk-1	X3	X1	X1
Br6297_gmoeklme-1	X3	X4	X3
Br6297_gmojlkfo-1	X1	X1	X1
Br6297_gmojmdoi-1	X8	X7	X7
Br6297_gmolblph-1	X10	X12	X8
Br6297_gmooenef-1	X1	X1	X1
Br6297_gmoooigh-1	X1	X1	X1
Br6297_gmpbekoh-1	X1	X1	X1
Br6297_gmphnhge-1	X12	X11	X16
Br6297_gmpiknnm-1	X10	X10	X8
Br6297_gmpnoddg-1	X5	X5	X4
Br6297_gnaccjpg-1	X12	X11	X9
Br6297_gnaiebfb-1	X12	X11	X9
Br6297_gnampbom-1	X10	X18	X8
Br6297_gnbcloid-1	X1	X1	X1
Br6297_gnbfpfjd-1	X3	X4	X11
Br6297_gnbjpoba-1	X12	X11	X10
Br6297_gnbphplb-1	X12	X11	X16
Br6297_gncbmgpb-1	X2	X2	X2
Br6297_gncohpih-1	X11	X11	X16
Br6297_gndcnebg-1	X10	X12	X8
Br6297_gndpbece-1	X3	X3	X3
Br6297_gneblmai-1	X22	X18	X15
Br6297_gnecmedn-1	X1	X1	X1
Br6297_gnedikoa-1	X3	X3	X3
Br6297_gnefghdb-1	X11	X11	X9
Br6297_gnegekkm-1	X3	X3	X3
Br6297_gnegjala-1	X3	X3	X3
Br6297_gneglcfh-1	X21	X19	X16
Br6297_gnegmoni-1	X2	X2	X2
Br6297_gneojkjm-1	X12	X11	X10
Br6297_gnfbmfoc-1	X5	X5	X4
Br6297_gnfcgppa-1	X1	X1	X1
Br6297_gngejodi-1	X17	X11	X10
Br6297_gngkldin-1	X3	X18	X15
Br6297_gnglonel-1	X21	X19	X16
Br6297_gngnalce-1	X21	X19	X10
Br6297_gnhbojmm-1	X5	X5	X4
Br6297_gnhcbdfk-1	X9	X9	X14
Br6297_gnhfkjkm-1	X1	X1	X1
Br6297_gnhkbdff-1	X21	X19	X16
Br6297_gnhpiage-1	X20	X17	X6
Br6297_gniafopn-1	X9	X9	X6
Br6297_gnidomff-1	X17	X11	X10
Br6297_gniiampa-1	X12	X11	X16
Br6297_gninaegi-1	X6	X2	X2
Br6297_gniolncc-1	X2	X2	X2
Br6297_gnjadehl-1	X14	X4	X11
Br6297_gnjgpbdd-1	X9	X4	X11
Br6297_gnjhfepm-1	X2	X2	X2
Br6297_gnkaikil-1	X3	X3	X3
Br6297_gnkifajo-1	X1	X1	X1
Br6297_gnkmkcjn-1	X5	X5	X4
Br6297_gnkofkeo-1	X6	X6	X5
Br6297_gnldegeh-1	X2	X2	X2
Br6297_gnljhmfc-1	X22	X18	X8
Br6297_gnlkfjfh-1	X10	X12	X8
Br6297_gnllhghm-1	X3	X3	X3
Br6297_gnmalofc-1	X2	X2	X2
Br6297_gnmnnmma-1	X2	X2	X2
Br6297_gnndabbh-1	X12	X11	X16
Br6297_gnnepaif-1	X12	X11	X10
Br6297_gnnilcmn-1	X12	X11	X10
Br6297_gnnkdhcl-1	X18	X17	X6
Br6297_gnnmimga-1	X16	X12	X19
Br6297_gnoinfhp-1	X2	X2	X2
Br6297_gnokoedf-1	X21	X4	X16
Br6297_gnpegjnk-1	X2	X2	X2
Br6297_gnppnndc-1	X16	X12	X8
Br6297_goaadpcn-1	X2	X2	X2
Br6297_goachljl-1	X3	X4	X3
Br6297_goafbkpl-1	X16	X12	X8
Br6297_goagjgml-1	X16	X12	X8
Br6297_goaholgd-1	X1	X1	X1
Br6297_goainhma-1	X16	X12	X8
Br6297_goanajjg-1	X9	X9	X14
Br6297_goaokaml-1	X12	X11	X10
Br6297_gobginlp-1	X10	X12	X8
Br6297_gocbijbm-1	X12	X11	X11
Br6297_goccnejk-1	X12	X11	X16
Br6297_gocjldhb-1	X12	X11	X10
Br6297_godeiahd-1	X12	X11	X9
Br6297_godhhplc-1	X21	X19	X16
Br6297_godmhchg-1	X5	X5	X4
Br6297_goebabej-1	X5	X5	X4
Br6297_goebohog-1	X12	X11	X16
Br6297_goekeicb-1	X16	X12	X8
Br6297_gofaonog-1	X16	X12	X8
Br6297_gofblmig-1	X2	X2	X2
Br6297_gofcfnjl-1	X3	X3	X3
Br6297_gofeehca-1	X1	X1	X1
Br6297_gofolhgg-1	X10	X12	X8
Br6297_gogjodpo-1	X5	X5	X4
Br6297_gogmaacd-1	X12	X11	X16
Br6297_gognnomh-1	X3	X18	X15
Br6297_gogpjgdk-1	X12	X11	X16
Br6297_gohipeom-1	X12	X11	X16
Br6297_gohmbokn-1	X3	X3	X3
Br6297_goibgelm-1	X16	X12	X8
Br6297_goibkcoj-1	X12	X11	X16
Br6297_goicikkl-1	X5	X1	X11
Br6297_goiflaml-1	X16	X12	X8
Br6297_goijfjcf-1	X5	X5	X4
Br6297_goijghge-1	X12	X11	X16
Br6297_gojcmmbc-1	X2	X2	X2
Br6297_gojdjkoi-1	X12	X11	X16
Br6297_gojdofpf-1	X6	X6	X5
Br6297_gojjbmbl-1	X17	X11	X9
Br6297_gojlikgd-1	X4	X2	X2
Br6297_gokmaijn-1	X17	X11	X9
Br6297_gokmidlg-1	X17	X11	X10
Br6297_gokpccbd-1	X16	X12	X8
Br6297_gokpgcae-1	X1	X1	X1
Br6297_goldielo-1	X12	X11	X10
Br6297_golfeoal-1	X9	X9	X14
Br6297_golfihld-1	X10	X12	X8
Br6297_golfmkec-1	X2	X2	X2
Br6297_golfnkdl-1	X2	X2	X2
Br6297_golhmobi-1	X15	X14	X12
Br6297_goliepcj-1	X12	X11	X16
Br6297_gomajicn-1	X12	X11	X16
Br6297_gomlhipe-1	X12	X11	X9
Br6297_gonalkfi-1	X10	X12	X8
Br6297_gonkccdf-1	X4	X1	X1
Br6297_gonlppha-1	X6	X6	X5
Br6297_gonpmmnh-1	X3	X3	X3
Br6297_goocmhjj-1	X11	X11	X16
Br6297_goollndi-1	X20	X18	X15
Br6297_gooomdjd-1	X1	X1	X1
Br6297_gopakmeh-1	X9	X9	X14
Br6297_gopfihdp-1	X2	X2	X2
Br6297_gophbklp-1	X6	X6	X5
Br6297_gopiikno-1	X13	X13	X9
Br6297_gopknclj-1	X13	X13	X9
Br6297_gopnaflb-1	X27	X22	X21
Br6297_goppmkbl-1	X27	X22	X21
Br6297_gpaialpi-1	X27	X22	X21
Br6297_gpaplnbm-1	X13	X13	X9
Br6297_gpbcldci-1	X13	X13	X1
Br6297_gpbigibg-1	X27	X22	X21
Br6297_gpbinpli-1	X27	X22	X21
Br6297_gpbplmfh-1	X27	X22	X21
Br6297_gpbpnhek-1	X27	X22	X21
Br6297_gpcafaaj-1	X27	X22	X21
Br6297_gpccbodk-1	X27	X22	X21
Br6297_gpcdblbe-1	X13	X13	X9
Br6297_gpcenakh-1	X13	X13	X9
Br6297_gpcfjlil-1	X13	X13	X9
Br6297_gpclbalm-1	X13	X13	X9
Br6297_gpconbmj-1	X4	X6	X13
Br6297_gpcpgahm-1	X16	X12	X8
Br6297_gpdcjome-1	X5	X5	X4
Br6297_gpddecjm-1	X12	X11	X16
Br6297_gpddmmcp-1	X13	X13	X9
Br6297_gpdmeaja-1	X13	X11	X9
Br6297_gpdpdcfi-1	X16	X12	X8
Br6297_gpebmdno-1	X26	X21	X19
Br6297_gpedgfhf-1	X12	X11	X16
Br6297_gpeibjjj-1	X12	X11	X16
Br6297_gpejjffd-1	X13	X11	X9
Br6297_gpfahhmc-1	X12	X11	X9
Br6297_gpfbadai-1	X13	X4	X11
Br6297_gpffmneg-1	X14	X4	X11
Br6297_gpfifgaj-1	X16	X12	X8
Br6297_gpfoanlm-1	X13	X13	X1
Br6297_gpfokdhp-1	X16	X12	X8
Br6297_gpgkogmk-1	X26	X21	X19
Br6297_gphdclhb-1	X26	X21	X19
Br6297_gphgnhbm-1	X1	X1	X1
Br6297_gphhhnmg-1	X13	X11	X9
Br6297_gphhlnon-1	X6	X6	X5
Br6297_gphjmnmm-1	X9	X9	X14
Br6297_gphkegfb-1	X12	X11	X9
Br6297_gphohoof-1	X12	X11	X9
Br6297_gpiebppf-1	X12	X11	X10
Br6297_gpignapl-1	X5	X5	X4
Br6297_gpiiejoe-1	X13	X11	X9
Br6297_gpiihbjh-1	X13	X13	X9
Br6297_gpikmbha-1	X13	X13	X11
Br6297_gpimdnen-1	X3	X4	X11
Br6297_gpimmgnl-1	X13	X13	X9
Br6297_gpiomgfn-1	X13	X13	X9
Br6297_gpjbebhh-1	X13	X13	X9
Br6297_gpjdckip-1	X2	X2	X2
Br6297_gpjecigd-1	X13	X22	X21
Br6297_gpjgdefm-1	X13	X13	X9
Br6297_gpjlijod-1	X13	X13	X9
Br6297_gpjmcjdo-1	X13	X13	X1
Br6297_gpkbmgnc-1	X13	X22	X21
Br6297_gpkmndam-1	X13	X22	X21
Br6297_gplaamio-1	X27	X22	X21
Br6297_gplagkkh-1	X27	X22	X21
Br6297_gplgpggd-1	X28	X5	X4
Br6297_gplojkja-1	X13	X13	X9
Br6297_gpmbdach-1	X13	X13	X9
Br6297_gpmfaiih-1	X13	X13	X9
Br6297_gpmpajjp-1	X27	X22	X21
Br6297_gpmpggjd-1	X27	X22	X21
Br6297_gpnaldfn-1	X27	X22	X21
Br6297_gpnbaodi-1	X27	X22	X21
Br6297_gpnedebc-1	X27	X22	X21
Br6297_gpniicic-1	X27	X22	X21
Br6297_gpnlooip-1	X27	X22	X21
Br6297_gpnmhihd-1	X27	X22	X21
Br6297_gpogbion-1	X27	X22	X21
Br6297_gponfeea-1	X27	X22	X21
Br6297_haakdimh-1	X27	X22	X21
Br6297_habjlhji-1	X27	X22	X21
Br6297_habmcilc-1	X27	X22	X21
Br6297_habpfboi-1	X27	X22	X21
Br6297_habpmlbk-1	X27	X22	X21
Br6297_hacaibfh-1	X27	X22	X21
Br6297_hacfokfe-1	X27	X22	X21
Br6297_hacfpkoi-1	X13	X13	X9
Br6297_hacibjcf-1	X13	X13	X9
Br6297_hacofbca-1	X13	X13	X9
Br6297_haconcel-1	X13	X13	X9
Br6297_haddaeah-1	X27	X22	X21
Br6297_hadelbip-1	X13	X13	X1
Br6297_hadffabg-1	X13	X13	X9
Br6297_hadgengi-1	X13	X13	X1
Br6297_hadpmlgj-1	X19	X6	X13
Br6297_haeanmge-1	X19	X6	X13
Br6297_haebdmba-1	X19	X6	X5
Br6297_haelimnn-1	X19	X6	X5
Br6297_hafdpmhp-1	X19	X6	X13
Br6297_hafhkjfk-1	X19	X6	X13
Br6297_hagddajc-1	X19	X6	X5
Br6297_hagddmnh-1	X19	X6	X5
Br6297_hagkgaoa-1	X19	X6	X13
Br6297_hagoemfb-1	X19	X6	X5
Br6297_hagokbeb-1	X19	X6	X13
Br6297_hahnmken-1	X19	X6	X5
Br6297_hahonhbd-1	X21	X4	X16
Br6297_haichndd-1	X26	X12	X8
Br6297_haidfmph-1	X3	X3	X3
Br6297_haieleao-1	X1	X1	X1
Br6297_haikokfi-1	X12	X19	X16
Br6297_haioflck-1	X20	X18	X15
Br6297_hajakned-1	X12	X19	X16
Br6297_hajbhloe-1	X19	X6	X13
Br6297_hajbilac-1	X3	X3	X3
Br6297_hajfmnof-1	X3	X18	X15
Br6297_hakhjnpc-1	X1	X1	X1
Br6297_hakjkihd-1	X16	X12	X8
Br6297_halhbloj-1	X20	X18	X15
Br6297_halpoljg-1	X3	X3	X3
Br6297_hamhbohn-1	X21	X19	X16
Br6297_hamjcnnc-1	X3	X1	X1
Br6297_haoebgch-1	X6	X2	X2
Br6297_haohdpmj-1	X5	X5	X4
Br6297_haohnllf-1	X5	X5	X4
Br6297_haojmcpp-1	X21	X19	X16
Br6297_haojmgah-1	X3	X3	X3
Br6297_haopeibp-1	X2	X2	X2
Br6297_hapdalci-1	X3	X4	X3
Br6297_hapdmgee-1	X21	X19	X16
Br6297_hapeljkk-1	X5	X5	X4
Br6297_hapimbed-1	X19	X6	X5
Br6297_hbacdlml-1	X19	X6	X5
Br6297_hbachgeg-1	X19	X6	X13
Br6297_hbajoaef-1	X11	X11	X9
Br6297_hbapaopg-1	X19	X6	X5
Br6297_hbbeknol-1	X19	X6	X5
Br6297_hbbgedpm-1	X15	X6	X5
Br6297_hbboipic-1	X9	X9	X6
Br6297_hbbpohib-1	X12	X11	X10
Br6297_hbcbedmf-1	X12	X11	X10
Br6297_hbcbjafa-1	X3	X4	X3
Br6297_hbcbmmhm-1	X3	X4	X3
Br6297_hbcoopam-1	X3	X4	X3
Br6297_hbdcnahi-1	X3	X18	X15
Br6297_hbddekig-1	X3	X4	X3
Br6297_hbebojel-1	X3	X4	X15
Br6297_hbecfnia-1	X14	X4	X11
Br6297_hbegcgnn-1	X16	X12	X8
Br6297_hbehjfgp-1	X12	X11	X16
Br6297_hbelgpje-1	X2	X2	X2
Br6297_hbemphlg-1	X3	X4	X3
Br6297_hbenpldp-1	X21	X11	X16
Br6297_hbfliiig-1	X12	X11	X10
Br6297_hbfnbbjp-1	X14	X17	X6
Br6297_hbfnjefp-1	X12	X11	X10
Br6297_hbgachba-1	X1	X1	X1
Br6297_hbgcclie-1	X14	X4	X11
Br6297_hbggjabn-1	X24	X4	X11
Br6297_hbgnocpl-1	X3	X3	X3
Br6297_hbhdlkjm-1	X3	X3	X3
Br6297_hbheaefe-1	X12	X19	X16
Br6297_hbhjlakk-1	X21	X19	X16
Br6297_hbhkjbkb-1	X3	X3	X3
Br6297_hbhpimgk-1	X2	X2	X2
Br6297_hbibjndg-1	X16	X12	X8
Br6297_hbidjpdo-1	X12	X11	X10
Br6297_hbiookna-1	X12	X11	X10
Br6297_hbjdckkj-1	X12	X11	X10
Br6297_hbjdfnbg-1	X3	X3	X3
Br6297_hbjnhfac-1	X17	X11	X10
Br6297_hbkbgfff-1	X14	X4	X11
Br6297_hbkdlipp-1	X6	X6	X5
Br6297_hbknpfaf-1	X17	X11	X10
Br6297_hbkpkidm-1	X10	X12	X8
Br6297_hblfpeel-1	X9	X4	X6
Br6297_hblgoelg-1	X5	X5	X4
Br6297_hblnmecj-1	X3	X3	X3
Br6297_hbmblijc-1	X1	X1	X3
Br6297_hbmcneeh-1	X3	X3	X3
Br6297_hbmgemnm-1	X2	X2	X2
Br6297_hbndhkek-1	X5	X5	X4
Br6297_hbnngafa-1	X5	X5	X4
Br6297_hboigghp-1	X2	X2	X3
Br6297_hboining-1	X3	X3	X3
Br6297_hbpapkni-1	X21	X19	X16
Br6297_hbpbdndo-1	X3	X3	X3
Br6297_hbpchban-1	X3	X3	X3
Br6297_hbpebgaa-1	X3	X3	X3
Br6297_hbpggpjp-1	X21	X19	X10
Br6297_hbpkjmpk-1	X3	X3	X3
Br6297_hbpkkhgf-1	X23	X16	X18
Br6297_hbplhlef-1	X21	X19	X16
Br6297_hbpmckop-1	X6	X6	X5
Br6297_hcacdhek-1	X3	X3	X3
Br6297_hcadkpog-1	X14	X4	X11
Br6297_hcadpeak-1	X3	X4	X3
Br6297_hcaikkfm-1	X14	X4	X3
Br6297_hcalhcdp-1	X2	X2	X2
Br6297_hcamghmb-1	X3	X3	X3
Br6297_hcbaoccp-1	X3	X3	X3
Br6297_hcbbfkej-1	X14	X4	X3
Br6297_hcbcedjc-1	X3	X3	X3
Br6297_hcbdfalj-1	X14	X4	X3
Br6297_hcbpljhe-1	X3	X4	X3
Br6297_hccbbjml-1	X14	X4	X11
Br6297_hccciedc-1	X3	X4	X3
Br6297_hccdcemb-1	X17	X11	X10
Br6297_hccdecib-1	X7	X8	X10
Br6297_hccdgopf-1	X12	X11	X10
Br6297_hccdlpim-1	X2	X2	X2
Br6297_hccknkgf-1	X3	X4	X3
Br6297_hcclhbfg-1	X9	X9	X6
Br6297_hcdebpfj-1	X9	X9	X14
Br6297_hcdjnodk-1	X20	X18	X15
Br6297_hcdkjanm-1	X9	X9	X6
Br6297_hcdpmonp-1	X21	X19	X16
Br6297_hceahlig-1	X21	X19	X16
Br6297_hcecnlph-1	X2	X2	X2
Br6297_hceehdma-1	X1	X1	X1
Br6297_hcegfida-1	X3	X3	X3
Br6297_hcegkfem-1	X3	X3	X15
Br6297_hceooecp-1	X10	X12	X8
Br6297_hcfcbeij-1	X3	X12	X8
Br6297_hcfdiakm-1	X3	X3	X3
Br6297_hcfjfekf-1	X17	X11	X10
Br6297_hcfmebec-1	X9	X4	X6
Br6297_hcfokokk-1	X3	X3	X3
Br6297_hcgabacn-1	X9	X9	X14
Br6297_hcgalpih-1	X21	X4	X3
Br6297_hcgkelhd-1	X5	X5	X4
Br6297_hcgnehjc-1	X1	X1	X1
Br6297_hcgogkhb-1	X3	X4	X3
Br6297_hchadhll-1	X12	X11	X10
Br6297_hchdfhnl-1	X14	X4	X11
Br6297_hcheefed-1	X12	X11	X10
Br6297_hchnhgag-1	X6	X6	X5
Br6297_hcibbfmj-1	X17	X11	X10
Br6297_hcinjkhi-1	X6	X6	X5
Br6297_hcioepkg-1	X1	X1	X1
Br6297_hcjcejpd-1	X21	X19	X16
Br6297_hckgenml-1	X12	X11	X10
Br6297_hckjigci-1	X12	X11	X10
